Predicted,Classes,New Predicted,question_description,
Hair Treatment,Hair Treatment,Hair Treatment,how to get rid off the unwanted hair from my cheek??,
Cold,Cold,Cold,Common cold in summer. What’s the solution ,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,How to manage stress?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,How to manage stress?,
Hair Treatment,Hair Treatment,Hair Treatment,What are the remedies for hairfall ? ,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,How to get over stress?,
Dental,Dental,Dental,How do you make wisdom teeth pain go away?,
Others,Others,Others,ఎప్పుడు సెక్స్ చేస్తే పిల్లలు పట్టరు ,
Weight Gain,Weight Gain,Weight Gain,how to gain the weight and which type of food we have to eat? ,
Dental,Dental,Dental,how to get rid of mouth ulcers???,
Height,Height,Height,"how to make growth my height???
",
Others,Others,Others,मै अपना  वजन कैसे बढा सकता हू?,
Height,Height,Height,how can I grow tall and good fit,
Headache,Headache,Headache,my mom suffering headache   3 days constantly in week. Her age is 37 so please suggest me to do something,
Others,Skin,Skin,"how to make my chick thick??
pls suggest....",
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,"how to remove smoking effect from body
",
Diabetes,Diabetes,Diabetes,"how can I control my diabetes
",
Others,Hair Treatment,Hair Treatment,how to make my grey hairs turn black??? (Age 18 ; Male) ,
Gym,Lungs and Smoking,Gym,"I have breathing problem..
and it usually occurs when I do some heavy work or exercise, having this problem from childhood, I'm 16+ yrs old.",
Hair Treatment,Hair Treatment,Hair Treatment,Can anyone suggest Good Hair oil for Silky shiny Hairs..? ,
Weight Gain,Weight Gain,Weight Gain,how to increase my weight?plzz tell,
Sexual Problem,Sexual Problem,Sexual Problem,"my wife is 5th month pregnancy 
she had motions problem 
which medicine u can refer ",
Others,Others,Others,I would like to ask one question personally by call or text?,
Height,Height,Height,how I can increase my height??? ,
Skin,Skin,Skin,"Scratches on face in accident
How to remove
Tell me medicine
",
Sexual Problem,Sexual Problem,Sexual Problem,what are defects we will get if we release sperm daily? ,
Weight Gain,Weight Gain,Weight Gain,I am 30years old and my height is 5'8'' and my weight is 61 kg ...how can I reach 65-70 within one or two months ?,
Others,Stress and Anxiety,General Problems,how to destroy laziness in our life,
Cold,Cold,Cold,common cold home remedies... can you tell me the most effective ,
Critical,Critical,Others,Are there any ways to cure heart blockage without bypass surgery or angioplasty?,
Others,Diet and Food,Others,how many calories in a zinger burger?,
Hair Treatment,Hair Treatment,Hair Treatment,How do I improve my Hair Texture ,
Weight Loss,Weight Loss,Weight Loss,how do I lose 5kg in two months ,
General Problems,Skin,Gym,I am having chickenpox on body how get relief from it ,
Height,Height,Height,How should I increase  my height ?,
Diet and Food,Diet and Food,Diet and Food,"what the benefit for dates?
what time dates are eat?",
Skin,Skin,Skin,I am having lot of pimples in my face. They keep occurring everyday. I am fed up with it. Age 24. drinks 3 ltr water everyday. washes face 2 times daily with face wash. ,
Sexual Problem,Sexual Problem,Sexual Problem,I am 24 years old my breast is too small  please suggest me for best treatment because my marriage is coming in sep 2018,
General Problems,Lungs and Smoking,Lungs and Smoking,per day how many cigarettes are good?,
Sexual Problem,Sexual Problem,Sexual Problem,getting pre masturbation problem how to cure it?,
Skin,Skin,Skin,I am getting itching whole skin with dots on whole body mainly night time with red dots...why this is happening to me?,
General Problems,General Problems,General Problems,"where free health check up camp
",
Others,Skin,Others,I'm suffering from Hyperhidrosis.. My hands sweats  so much... How could I stop this ,
Hair Treatment,Hair Treatment,Hair Treatment,Is B complex useful in hair care?  ,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,How harmful is the use of marijuana our body?,
Diet and Food,Diet and Food,Diet and Food,"which nutrition food we should take
",
Weight Gain,Weight Gain,Weight Gain,how can I gain weight and how to diet every day?,
Skin,Eyes,Eyes,I have white spots upon my eyes  how can I remove it,
Weight Loss,Weight Loss,Weight Loss,what is the best way to lose weight ,
Others,Others,Others,ಬಿಯರ್ ನಮ್ಮ ದೇಹ ತೂಕದ ಹೆಚ್ಚಿಸಲು ಹೇಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ ಮತ್ತು ವಾರಕ್ಕೆ ಸೇವನೆಯ ಮಿತಿ ಯಾವುದು?,
Weight Gain,Weight Gain,Weight Gain,How does beer help us to increase our body weight and what should be the limit of consumption per week?,
Sexual Problem,Sexual Problem,Sexual Problem,How can I make my penis large?,
Others,Skin,Skin,"How to prevent pimples ???
I want immediately answer
",
Sexual Problem,Sexual Problem,Sexual Problem,What could be the consequences of not having a sex life?,
Gym,Gym,Gym,who to get fitness in below 18 years?,
General Problems,Diet and Food,General Problems,which fruits are best for health?,
Diet and Food,Diet and Food,Diet and Food,Is Fruit Bear safe For Body or Not ??,
Others,Others,Others,लिप्स ब्लैक हैं तो लिप्स को थोड़ा लाइट कैसे करें बताइए कृपया ,
Skin,Skin,Skin,by doing the facial for men is there any side effect ?,
Height,Height,Height,Can I increase my height after 21yrs and I'm male,
Weight Loss,Weight Loss,Weight Loss,I'm too much fat what should I do ?,
Others,Blood Related,Others,How many stem cells can I expect to store?,
Cold,Cold,Cold,cold prevention and curing methods,
Body Pain,Headache,Body Pain,why my brain  always create pain?,
Height,Height,Height,how to increase my height my age 17,
Weight Gain,Weight Gain,Weight Gain,How I increase  my weight . My age is 18,
Diabetes,Diabetes,Diabetes,Healthy nutritional for Sugar patient,
Gym,Gym,Gym,How to get body fitness in home exercise ,
Gym,Gym,Gym,how can I get a muscular body with less exercise???,
Diet and Food,Diet and Food,Diet and Food,Which is rich source of potassium? ,
Others,Weight Loss,Others,how can we become thin in very less time,
Weight Gain,Weight Gain,Weight Gain,What is the Diet plan for weight gainer ?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",what should be the diet for liver fibrosis?,
Diet and Food,Diet and Food,Diet and Food,Which is the rich source of iron ,
Body Pain,Body Pain,Body Pain,Which yoga is better for back pain? ,
Others,Others,Others,నేను నా age కు మించి బరువు ఉన్ననూ నా తొడలు చాలా బరువంటాయి దయచసి నా కు సలహా ఇచి సహాయం చెయ్యండి ????????,
General Problems,General Problems,General Problems,How can we maintain our health,
Body Pain,Body Pain,Body Pain,which yoga is best to get relieve from knee pain,
Skin,Skin,Skin,"How can I remove dark spots, deep cut marks, and scratches marks from face..? ",
Weight Loss,Weight Loss,Weight Loss,how to lose 1kg weight in 1month,
Diet and Food,Diet and Food,Diet and Food,Which food is better for health?,
Others,Others,Others,month proper time Bedlington long time,
Diet and Food,Diet and Food,Diet and Food,Why should we eat less in the morning?? ,
Skin,Skin,Skin,"Best face cream which gives glow/ fairness for men??
",
Others,General Problems,General Problems,"what is scope in genetics ?
please help me ",
Weight Gain,Weight Gain,Weight Gain,I had very slim body how can I make it little bigger,
Skin,Weight Gain,Weight Gain,"I have a slim face , how can I make it  little bigger ",
Sexual Problem,Sexual Problem,Sexual Problem,"when I go to toilet for no.2 , my sperm also comes out, why ",
Diet and Food,Diet and Food,Diet and Food,how to maintain fitness by our diet including south Indian recipes ,
Skin,Skin,Skin,I have very dark spots in my face is their any medicine  to lighten my skin,
Gym,Gym,Gym,"I have good body and I want to make my aps 

how can I make my aps??",
Gym,Gym,Gym,how can I be fit without workout,
Hair Treatment,Hair Treatment,Hair Treatment,what are the remedies for hail fall??? ,
General Problems,General Problems,General Problems,Which are the Healthy foods for Boys ?,
Others,Others,Others,बाल सफ़ेद हो रहें है तो उन्हे किस तरह से रोका जाए कुछ सुझाओ बताओ ,
Weight Gain,Weight Gain,Weight Gain,"how can I increase my weight 
I am only 17 years old
",
Eyes,Eyes,Eyes,how we make our eyesight strong?,
Gym,Diet and Food,Gym,what we to eat up to muscle grow??,
Diet and Food,Diet and Food,Diet and Food,What we eat to grow our muscles?,
Height,Height,Height,what we eat to increase our height,
Hair Treatment,Hair Treatment,Hair Treatment,what can be done to decrease hair fall,
Weight Loss,Weight Loss,Weight Loss,How did I get reduce my weight,
Skin,Skin,Skin,waxing is harmful for skin pores or not? ,
Weight Loss,Weight Loss,Weight Loss,how to lose belly fat and diet to lose weight ?,
Eyes,Eyes,Eyes,"How we make our eyesight strong
",
Sexual Problem,Sexual Problem,Sexual Problem,what is permanent solution for regular periods problem,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,any tips on how to leave smoking?,
Diet and Food,Diet and Food,Diet and Food,Which food is good for health?,
Weight Loss,Weight Loss,Weight Loss,how to decrease weight in body,
Cold,Cold,Cold,"I had Fever? how to solve problems
",
Weight Gain,Weight Gain,Weight Gain,"how to increase the body weight
",
Weight Loss,Weight Loss,Weight Loss,How to decrease weight in body? ,
Gym,Gym,Gym,"hw to become fit 
n conscious??",
Gym,Gym,Gym,fitness rahane ke liye keya Karna chahiye,
Others,Others,Others,mere ko nind Jada nind aati hai  iske liye koi daawa,
Skin,Skin,Skin,I need a permanent solution for psoriasis... please help me,
Height,Height,Height,how can I improve my height plse tell me doctor ,
Others,Skin,Skin,"Mam, I have pimples on my cheeks and forehead from two months. Will you please say a remedy for it mam. ",
Others,Others,Others,నేను ఎక్కువగా సెల్ చూడడం వల్ల నాకళ్ళు మసకగా ఉన్నాయి నాకు 2 సంవత్సరముల క్రితం। నుండి దూర దృష్టి కళ్ళద్దాలు ఉన్నాయి,
Gym,Gym,Gym,"body fitness ke liye kya kar ke vet kam kar sak te he
",
Gym,Gym,Gym,how to I stay fit and fine ? tell me some ideas.,
Diet and Food,Diet and Food,Diet and Food,"
which fruits can we eat for diet",
General Problems,General Problems,General Problems,AFTER DRINKING MILK WE HAVE TO NOT FISH?????,
Critical,Critical,Others,what should do when heart size  found big by E.C.G,
Height,Height,Height,I have a height problem my age was 18 what will do ,
Skin,Skin,Skin,I want to know the benefits of facial for mens,
Skin,Skin,Skin,Is there any change in face glow by eating the dry fruits. Is dry fruits helps in change in face colour,
Diet and Food,Diet and Food,Diet and Food,Is egg and banana are bad for health together ,
Dental,Dental,Dental,which tooth paste is best for teeth,
Skin,Skin,Skin,is there any use by the facial for men's,
Skin,Skin,Skin,which bath soap is better for skin,
General Problems,General Problems,General Problems,what is health in world in science,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",thyroid can be cured in ....days,
Skin,Skin,Skin,can we use vitamin E capsules to reduce the dark spot or acne from face?,
Others,Diet and Food,Others,Which foods provide vitamin k?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,hi how to get more concentration to study,
Skin,Skin,Skin,which face wash is better for skin?,
Sexual Problem,Sexual Problem,Sexual Problem,how can in one month two time period  pls tell ?,
Height,Height,Height,How can I increase my height....,
Height,Height,Height,how to increase height my age 14 ,
Diet and Food,Diet and Food,Others,what is the usage of aloe Vera eaten?,
Others,Gym,Others,how can we develop our muscles,
Dental,Dental,Dental,I have a accident recently. my lower jaw front 4 teeth are shaking .when to use clips or any other treatments for getting better,
Skin,Skin,Skin,how to cure the ringworm suffering from one month,
Height,Height,Height,how 2 increase my height in 22 year??,
Hair Treatment,Hair Treatment,Hair Treatment,how to grow beard on clean scene,
Others,Skin,Skin,bar bar hone wale pimples  ko kaise khatam keep​,
Body Pain,Body Pain,Body Pain,what the treatment of back pain,
Height,Height,Height,What should I do to increase my height?,
Gym,Weight Gain,Gym,how can develop my body m so lean,
Weight Loss,Weight Loss,Weight Loss,"best way to reduce weight of body?
",
Height,Height,Height,is possible that height is increase at the age of 23 ?,
Skin,Skin,Skin,How to remove black spots from face? ,
Gym,Gym,Gym,"How to maintain fitness
At age of 50",
Others,General Problems,General Problems,how to increase life longativity?,
Others,Hair Treatment,Hair Treatment,hoed to increase facial growth of hairs?,
Gym,Gym,Gym,what is the right age to join gym?,
General Problems,General Problems,General Problems,how to increase  our  health.?,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",can hyperthyroidism cured permanently and size of thyroid gland be normal.?,
Others,Others,Others, ki kore sarir sasta valo rakhbo???,
General Problems,General Problems,General Problems,how to improve health and happiness,
Skin,Skin,Skin,how to get relief from skin decease,
Skin,Skin,Skin,I want to get a clearly screen without acne.,
Gym,General Problems,Gym,what is the benefit of exercise,
Others,Others,Others,गर्‌भावस्‌था मे सावधानियाँ क्‌या हैं ,
Others,Others,Others,गर्‌भावस्‌था मे सावधानियाँ क्‌या हैं ,
Hair Treatment,Hair Treatment,Hair Treatment,how to men head hair black and silky in fast way like one month?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver",Gym,How to improve body metabolism? ,
Gym,Gym,Gym,How to reduce bad cholesterol? ,
Weight Loss,Weight Loss,Weight Loss,how to lose weight..?what diet should I follow..?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,I'm in depression how to fight depression. ,
Others,"Ear, Nose and Throat","Ear, Nose and Throat","what are the effects of nausea ?
",
Gym,Weight Loss,Gym,"How to make slim body From Weaknesses bode
",
Weight Loss,Weight Loss,Weight Loss,Sir how to lose weight ? I need you help sir,
Cold,Cold,Cold,having cough  from a week tried many medicines. ,
Gym,Gym,Gym,how can I make myself fresh and fit,
Gym,Gym,Gym,how to make muscles grow faster?,
Weight Loss,Weight Loss,Weight Loss,How to reduce weight for girl in a month?,
Critical,Critical,Skin,how I remove black ECG and do a young debit card r rrrr and rr and x XC spots from the face g a,
Weight Gain,Weight Gain,Weight Gain,How to increase weight fast???,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,What a weakness fell in body. ,
Blood Related,"Ear, Nose and Throat","Ear, Nose and Throat",what is thyroid. 3 .in blood report?,
Weight Loss,Diet and Food,Diet and Food,what is healthy food to reduce fat,
Weight Gain,Weight Gain,Weight Gain,how to increase weight fast.......... ,
Hair Treatment,Hair Treatment,Hair Treatment,I have lost my hair very much what I can do? ,
Weight Loss,Weight Loss,Weight Loss,is keto diet safe method to lose fat....?,
Diet and Food,Diet and Food,Diet and Food,what to take in meal for good health,
Gym,Gym,Gym,Will protein powder be side affect?,
Others,General Problems,General Problems,"Why do we yawn?  Any medical
 reason?",
General Problems,Skin,Skin,how to remove chicken pox scars,
Others,Stress and Anxiety,Stress and Anxiety,what is the mental condition of the people when they think of suicide,
Gym,Gym,Gym,How to build muscles with in a week? ,
Skin,Skin,Skin,how to remove black spot from face??,
Cold,Cold,Cold,have cough from week tried many medicine but not cured yet.,
Diet and Food,Diet and Food,Diet and Food,"I am aged about 43 
what type of diet nutrition shall fallow",
General Problems,General Problems,General Problems,please give me health strong tips?,
Gym,Gym,Others,how to grow a muscles and how to get a protein,
Hair Treatment,Hair Treatment,Hair Treatment,can we keep beard oil or some home made oil which contains castor oil for 16 to 17  yes???,
Gym,Gym,Gym,how make more stamina in running,
Skin,Skin,Skin,how to get rid of vitiligo from lips,
Hair Treatment,Hair Treatment,Hair Treatment,what is solution for hair loss,
Hair Treatment,Hair Treatment,Hair Treatment,can you help me out to reduce hair loss?,
Weight Loss,Weight Loss,Weight Loss,I  want lose weight naturally. What is the simplest way for this????,
Others,Stress and Anxiety,Others,how to concentrate on lessons more,
Hair Treatment,Hair Treatment,Hair Treatment,how can I solve my hair fall ?,
Hair Treatment,Hair Treatment,Hair Treatment,How can I  control my hair loss? ,
Hair Treatment,Hair Treatment,Hair Treatment,"give some solution for hair loss 
",
Weight Loss,Weight Loss,Weight Loss,say doctor my weight is 92kg how to lose weight give me a tips ,
Weight Loss,Weight Loss,Weight Loss,can you say doctor how to lose weight and the other types of calories say something ,
Skin,Skin,Skin,how to remove sun tanning from forehead. ?????,
Gym,Gym,Gym,what exercise are to be done to build arms,
Others,Others,Others,मेरे शरीर की दुबला करने के लिए क्‌या उपाय करूं?,
Others,Others,Others,  चिंता से कैसे बचा जा सकता हे?,
Blood Related,Blood Related,Blood Related,How can I stop my coughing blood,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,How to increase in concentration power studying in class room ,
Others,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",Does apple causes constipation?,
Diabetes,Diabetes,Diabetes,how to get cured from diabetes,
Others,Diet and Food,Diet and Food,I am facing salty taste in my dish,
Others,Cold,Cold,inching and coughing ..I've try many medicine but still not take action please help me,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,in classroom I am not be able to make concentration  on teacher side can u suggest me some yoga which help in increasing  concentration  power,
Cold,Cold,Cold,what is the medicine for common cold? ,
General Problems,General Problems,General Problems,"How to sleep quickly and deeply?
",
Weight Loss,Weight Loss,Weight Loss,"how to reduce my weight? My weight  is 88kg 
",
Cold,Cold,Cold,"I am suffering from fever
so what can I do",
Dental,Dental,Dental,my teeth are yellowish is there any suggestions,
Dental,Dental,Dental,Remove black spots from teeth ,
General Problems,General Problems,General Problems,how to grow the children's immunity? ,
Sexual Problem,Sexual Problem,Sexual Problem,my frnd has unequal breast. wt can she do,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",What can I do for removing carbohydrate?,
Dental,Dental,Dental,what We do of our Teeth is become Yellowish,
Skin,Eyes,Eyes,how to remove dark spots under eyes ,
Blood Related,Blood Related,Blood Related,Which is the best tablet for blood pressure?,
General Problems,General Problems,General Problems,health Ko kaise increase kare?,
Gym,Gym,Gym,Is Yoga is better than workout in gym? ,
Dental,Dental,Dental,"What we do of our teeth is become yellowish
",
Skin,Skin,Skin,what is the process for removing black spot on face,
Weight Loss,Weight Loss,Weight Loss,is it safe to avoid having dinner for weight loss ?,
Diet and Food,Diet and Food,Diet and Food,which is best for health food?,
Others,Others,Others,बाल क्यों झड़ते हैं? इसके कारण बताएं।,
Weight Loss,Weight loss,Weight Loss,"I am 6feet tall and about 90kg, so can I conclude that I am fit or I should lose weight...? ",
Diet and Food,Diet and Food,Diet and Food,what is the best food for muscle building?,
Critical,Critical,Skin,"permanent cure for urinary tract infection?
",
Diet and Food,Diet and Food,Diet and Food,which is best for health food?,
Others,Others,Others,How can we forget our worst past that disturbing now in present ,
Skin,Skin,Skin,how to decrease a pimple from the face?,
Cold,Cold,Cold,hepatitis can be cured with acute virus,
General Problems,Hair Treatment,Hair Treatment,is there any medicine or surgery for removal of body hairs permanently ?,
"Ear, Nose and Throat",Critical,Critical,Can sciatica be cured permanently ? how?,
Weight Loss,Weight Loss,Weight Loss,My weight is 89 kg and my age is 24. As I am obese suggest me how to reduce weight. ,
Others,Others,Others,Sir muze apne pair  ka jo pichla hissa hota hai yani ghutno ke niche waha ki num kabhi kabhi bahot dard karti hai koi upay? ,
Others,Others,Others,अपनी आँखों की देखभाल कसे करें ,
Skin,Skin,Skin,What is the treatment of acne?,
Hair Treatment,Hair Treatment,Hair Treatment,Is there any cure for prematurely grey or white hair in the teens or twenties?,
General Problems,General Problems,General Problems,health ko kaise increase kare ?,
Gym,Gym,Gym,suryanamskar is a best yoga in a yoga categories,
Skin,Skin,Skin,How to remove red colour spot from face,
General Problems,General Problems,General Problems,What are the symptom of allergy,
General Problems,General Problems,General Problems,What are the symptom of allergy ,
Skin,Skin,Skin,How to reduce red spot of face ?,
Weight Loss,Weight Loss,Weight Loss,how to decrease my weight fastly,
General Problems,General Problems,General Problems,what are the symptoms of Allergy?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,how can we do proper concentration.?,
Weight Gain,Weight Gain,Weight Gain,how to increase weight fastly? ,
Weight Gain,Weight Gain,Weight Gain,How to increase body weight rapidly ?,
Hair Treatment,Hair Treatment,Hair Treatment,How to grow full beard on face...?,
Skin,Skin,Skin,How to remove  a dark circles? ,
Skin,Skin,Skin,how to remove chicks acne and pimples,
Weight Gain,Weight Gain,Weight Gain,what diet I should take gain my weight,
Weight Loss,Weight Loss,Weight Loss,How to reduce fat by medicine ,
Skin,Skin,Skin,"how to cure skin allergy with natural remedies
",
Sexual Problem,Sexual Problem,Sexual Problem,"Is regular intercourse is good for health or it should be avoided ? 
Kindly suggest me in details
",
Others,Others,Others,how many top hospital's in Hyderabad ?,
Skin,Skin,Skin,pls tell me how to my skin colour fear... ,
Weight Gain,Weight Gain,Weight Gain,what diet show I take to gain weight,
General Problems,General Problems,General Problems,is it ok to uses perfectible regularly?,
Weight Loss,Weight Loss,Weight Loss,How to weight loss in quick way,
Weight Gain,Weight Gain,Weight Gain,what diet show I take to gain my weight,
Weight Gain,Weight Gain,Weight Gain,How shall I gain more weight and get into better shape. I am 14,
Weight Gain,Weight Gain,Weight Gain,"I am underweight, I eat lot still I am not able to puton weight kindly suggest ",
Stress and Anxiety,Stress and Anxiety,Others,"I want to be rest ,but not possible in busy life , how is this possible
",
Weight Gain,Weight Gain,Weight Gain,How to gain weight fast within 15days?,
Weight Loss,Weight Loss,Weight Loss,"How decrease my weight. ..my weight...is 
89",
Weight Gain,Weight Gain,Weight Gain,how do I gain weight...my weight is 48 and I want to increase it.,
Weight Loss,Weight Loss,Weight Loss,how to decrease weight by doing good exercise?,
Weight Gain,Weight Gain,Weight Gain,How do I gain my weight as I'm 22 years old and I'm still 55 ..,
Dental,Dental,Dental,My age is 25 years. An extra teeth behind my jaw causes food to get stuck. Should I remove it? ,
Weight Loss,Weight Loss,Weight Loss,How to lose weight in one month? ,
Hair Treatment,Hair Treatment,Hair Treatment,what are the good food items for hair fall,
Others,Skin,Skin,How can I remove my pimples quickly,
Weight Gain,Weight Gain,Weight Gain,How to gain weight of human body,
Skin,Eyes,Eyes,how to remove black marks under eyes,
Skin,Skin,Skin,Solution for pimples remaining black spot....,
Weight Gain,Weight Gain,Weight Gain,"How to increase my weight..
with in one month..??
",
Hair Treatment,Hair Treatment,Hair Treatment,what is the solution of hair fall?,
Height,Height,Height,"I'm 20 now 
how can I grow my height??",
Diet and Food,Diet and Food,Diet and Food,how to maintain balanced diet ?.,
Gym,Gym,Skin,"I want make bodybuilders
How to do",
Others,Others,Others,mere seene me halka halka dard deta h ,
Others,Skin,Skin,how to finish fungal infection,
Diet and Food,Diet and Food,Diet and Food,if we eat oil food what happens ,
Hair Treatment,Hair Treatment,Hair Treatment,how to solve hair dandruff problem?,
Gym,Gym,Gym,what I do to  improve my fitness ,
Hair Treatment,Hair Treatment,Hair Treatment,My hair problem pls solution.? ,
Diet and Food,Diet and Food,Diet and Food,which food I should eat for my health fitness,
Headache,Headache,Headache,I always get headache. Why this time,
Hair Treatment,Hair Treatment,Hair Treatment,why my hair is loss? pls give ,
Others,Headache,Others,can hepatitis b infection can be cured with acute virus,
Weight Gain,Weight Gain,Weight Gain,what should I eat for gain my weight? ,
Diet and Food,Diet and Food,Diet and Food,which food I should eat for my Health,
Weight Gain,Weight Gain,Weight Gain,"I want to increase my weight, what will I do",
Weight Loss,Weight Loss,Weight Loss,I want to lose my weight how do I ,
Weight Gain,Weight Gain,Weight Gain,Hi. I am 20 years old and for my age I'm underweight. so please suggest me something to gain weight and be fit,
